split,source_file,article_len,summary_len
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,80,26
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,52,28
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,216,26
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,64,14
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,157,56
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,92,19
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,100,30
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,83,23
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,60,39
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,61,38
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,78,44
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,141,19
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,82,19
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,113,51
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,66,53
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,106,25
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,53,25
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,72,52
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,407,36
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,150,19
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,52,17
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,178,29
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,57,29
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,42,25
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,121,45
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,75,32
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,56,46
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,159,30
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,71,51
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,207,29
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,54,32
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,99,22
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,82,36
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,128,39
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,64,22
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,55,40
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,143,27
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,132,16
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,205,17
cleaned_Arabic_Text_Summarisation_data,cleaned_Arabic_Text_Summarisation_data,459,45
